y_truth	lr	svm	rf	xgb	xgb_tw
1	0.9373025099973016	0.6088368945683819	0.5340091259413998	0.8373279	0.7970974
1	0.7427612993641578	0.6618581506546352	0.5604467654450549	0.92218006	0.73303515
0	0.7172034192274053	0.613831962800614	0.37289445904253254	0.17998742	0.122062676
1	0.9175766240682022	0.8086705582862479	0.5994659236752077	0.7851073	0.65067893
0	0.6706678104891762	0.49047951323181843	0.4247787918070223	0.64480436	0.68786824
1	0.6062410932406103	0.4439007326460784	0.536223743061671	0.41068092	0.7074618
1	0.9843385024486565	0.883468729653814	0.6927710285934762	0.9736916	0.6012664
1	0.9842501735600668	0.9347329713789385	0.5889606152937131	0.82548565	0.19036147
0	0.547900691316577	0.29414678774629177	0.45782606913864277	0.05886133	0.18985254
0	0.01739276641857899	0.05777063731423202	0.30502558725449935	0.22562477	0.1930861
1	0.989202526593762	0.8980407809004732	0.6488246392182618	0.9340901	0.8159007
1	0.8977066293737515	0.4710438493081551	0.5718170177193656	0.84457946	0.9493553
0	0.12957597257528128	0.15223870136264678	0.3578531073927808	0.08193492	0.7139514
1	0.9216890043935101	0.7980600085215993	0.6137164152248569	0.69708884	0.7223607
1	0.4287897209350358	0.41209757708761896	0.49757125721843204	0.08053049	0.2332394
1	0.8800736222213376	0.6546450104910938	0.5316580033972134	0.35928795	0.5403826
1	0.9110551747631758	0.7744181359909227	0.5479674781536423	0.7828276	0.32901755
1	0.9365577372046211	0.8347161871265617	0.5895996829050385	0.73908937	0.57818633
1	0.2515383552355789	0.24747118739603166	0.560490864755424	0.46790528	0.38702977
0	0.192704151604805	0.2694576555132156	0.39120754553588777	0.048194814	0.18183367
0	0.3062571351941574	0.6459751254831276	0.4644944825932319	0.80244404	0.12632729
0	0.12466636921398748	0.25729785554539425	0.43355414853844143	0.31575334	0.17466432
1	0.9883228142232539	0.9190245127491861	0.7055502119854274	0.9618695	0.8588716
1	0.520127468831753	0.416883181399869	0.43928081161536703	0.09268459	0.41433254
0	0.6021205318733617	0.4548224260443045	0.47115721485064094	0.39676347	0.670069
0	0.004777315469703204	0.09316822327028294	0.25394287818507194	0.067914784	0.04289876
0	0.6721151203935192	0.45481029666459716	0.46364060775333676	0.21739544	0.25675243
0	0.430322340852208	0.365713088628113	0.3822132449703639	0.18905431	0.25679958
0	0.03291718215393579	0.1033649797269573	0.3155980211371416	0.028179655	0.09714822
1	0.20622939890233125	0.2291893786160969	0.3427628098347499	0.17889687	0.039335962
0	0.02930464257471763	0.08953826855934836	0.3479216939732318	0.006039928	0.15743311
0	0.02246663785806422	0.11043797688222191	0.29435267714436353	0.01126592	0.36149517
1	0.45321180235127484	0.48502253686270125	0.4475620863924659	0.27997968	0.6353302
1	0.9879977946117358	0.9043384249722709	0.6702289748279305	0.97319937	0.870468
0	0.003798890357722743	0.06060145512160862	0.2987049370988203	0.05442627	0.110288285
0	0.026102834965347998	0.09616875051003035	0.3846150916909602	0.033802547	0.40139964
0	0.014894595389877882	0.08603314042930198	0.3358134070321691	0.03766035	0.15248598
1	0.1599688191853414	0.39591861372255155	0.4044121606030408	0.17569648	0.6353302
1	0.33078869349790774	0.39431450435368415	0.48961257521070584	0.2225153	0.852037
1	0.9945621351400399	0.9417486561533611	0.6754748111291364	0.94968665	0.8101365
1	0.5993835955494197	0.5526853234704431	0.5531167596220227	0.6676135	0.7780922
1	0.7559236179847401	0.6803835063338964	0.554204049095301	0.7942859	0.57490605
0	0.3451472121867997	0.4140275712204783	0.5054592402257555	0.20937467	0.58327144
1	0.9812576283431315	0.9100777183070844	0.6583973294897544	0.92911637	0.43260282
