y_truth	lr	svm	rf	xgb	xgb_tw
1	0.18835890371467512	0.4133456228084011	0.23972782574071896	0.106360175	0.2101474
1	0.96507536916091	0.714591161387446	0.5839222465956667	0.6653788	0.82410914
1	0.9386465194863985	0.6891935013308478	0.6042707226815454	0.6426854	0.81939155
0	0.019054701305590307	0.18086815482324603	0.3825559900733083	0.39280355	0.5454189
0	0.9642985188340957	0.628552022375954	0.6214743337993991	0.64272344	0.57337904
0	0.005535356891433028	0.1897013753562091	0.2857957297312667	0.13433708	0.2908077
0	0.06761695040865308	0.3439331650807836	0.3131847790904487	0.345043	0.33258948
0	0.011985617686925187	0.22141179503921554	0.3664655499012774	0.3131416	0.35353163
1	0.2543797103330144	0.4160000642793426	0.5769813145719502	0.69912255	0.32126892
0	0.27647085893031553	0.41079605427447397	0.4341672297491514	0.22587395	0.23891142
0	0.00185615153408298	0.13825764492143253	0.23479841046036876	0.121347286	0.2908077
0	0.034553440685194205	0.3012528406354471	0.4114958433916444	0.25604036	0.36069864
1	0.8118542578042705	0.587699501029879	0.532752078071418	0.59151983	0.84933275
0	0.21145418375765027	0.32108206086901514	0.4584626181053361	0.51114523	0.62398654
1	0.3563630379369531	0.4485460745792973	0.4573840657966047	0.3154891	0.3990433
1	0.9058752294201419	0.5752749376934654	0.5122168791713103	0.52215546	0.5599396
1	0.8810763116962408	0.6513236115954585	0.5656043429566648	0.58695537	0.6879913
1	0.9724824303399868	0.7261772069627389	0.6367521074069814	0.67633635	0.61824393
0	0.12409338396801489	0.38214943898331827	0.393735483975519	0.18304586	0.2516847
1	0.9931415019658981	0.7735750970631305	0.5680531387046341	0.5084535	0.52583617
0	0.007882771466596062	0.23922208941827275	0.3594361879413156	0.27363676	0.21481645
1	0.7134471643799629	0.5178494031041454	0.46052689278899483	0.3751346	0.30634746
0	0.10680950314663666	0.35163147558846813	0.44431832889118117	0.4344585	0.571142
0	0.5008587521546353	0.4154211054768757	0.4495360011691358	0.3123744	0.2908077
0	0.2691032492473486	0.4181983512176565	0.4933389664578672	0.37990886	0.69309616
1	0.8275786284715947	0.6220914386336409	0.5808231678714798	0.54087514	0.8141046
1	0.18230919502138695	0.43815647862473683	0.3842091146227765	0.3509206	0.16417907
1	0.1242402159309588	0.31022804000164256	0.46479714870397904	0.39202073	0.6191819
0	0.01674030150708048	0.27292379273459155	0.3879556970540826	0.36470708	0.5602096
1	0.9902319604511084	0.7803362622799882	0.6051401581328177	0.71009743	0.6903457
0	0.9847298093328484	0.9957845841287707	0.689609472636714	0.7926753	0.835339
1	0.9878119535542952	0.9682879321440855	0.6040232838790223	0.6067015	0.32095808
0	0.14474575375571747	0.3457721814305541	0.4308484007369331	0.45014974	0.20588876
0	0.15052917490205567	0.37096226770416424	0.4082382767464924	0.3704645	0.60969627
1	0.00221896071970416	0.15225790693533978	0.23129803115982311	0.20961346	0.18219817
1	0.8402338067003795	0.6052325093775919	0.532677931107607	0.48883513	0.18296419
1	0.8399724009655497	0.6634210795884229	0.5873774111969456	0.5927355	0.5850584
0	0.07539020579397458	0.27381236250086527	0.5483441401094576	0.543091	0.68675894
0	0.6406994454418241	0.9525863992649735	0.5916387478831623	0.5877491	0.8472039
1	0.544612262497795	0.5097554441489979	0.4341640975646895	0.28842106	0.21735519
0	0.03937485474797029	0.33235301611085954	0.347127862416028	0.2477913	0.41981554
1	0.9670590654321481	0.7155417560539348	0.4906162285759561	0.41340274	0.3468003
0	0.09737803987335358	0.40769736608817836	0.33680179798365306	0.19798619	0.19219804
0	0.08001104387087295	0.35306438742795915	0.5283547359157719	0.47007623	0.60133165
1	0.9127170222269461	0.6432061423383835	0.5785030623354676	0.71163017	0.55709755
1	0.9987168443787693	0.8670941870596276	0.8820294999132201	0.9138358	0.6530356
1	0.12249966082286254	0.3802023744827653	0.5183705017247976	0.5024162	0.56216735
0	0.15514209554873953	0.41107946935543765	0.4748403024241839	0.40235266	0.32924694
1	0.04536647760463555	0.2344182456678385	0.3642429075062252	0.27572376	0.28634343
0	0.993473534493783	0.9495524165045172	0.7176498951437243	0.88923746	0.77148217
0	0.5489122444623483	0.5583449893935309	0.4943985119627536	0.470148	0.5139368
1	0.9984004563185944	0.9491513687157883	0.8348151014801224	0.90450275	0.69661117
1	0.33762628665976446	0.42850952304567774	0.5330349304664947	0.6436978	0.58686256
1	0.9895856218596475	0.8902296451738799	0.687324641908098	0.77632684	0.42303312
1	0.07019041013367602	0.25180290685493223	0.3653718799045809	0.22471973	0.2780872
1	0.9258712829685769	0.8250055142077023	0.5876420914826486	0.79754674	0.6022516
0	0.4226720016812288	0.5234089202005776	0.366699798360133	0.3405596	0.29612458
0	0.015387328785550467	0.16278824255738328	0.41217355491300917	0.36498082	0.33427733
1	0.9983824878198645	0.9489933008261381	0.8359330668480875	0.90810853	0.69661117
1	0.2986151253237711	0.2979797413177951	0.4335336648538082	0.47256234	0.5910234
1	0.8850453783401688	0.7531301174995749	0.5476183775276899	0.67064095	0.7013113
1	0.9125373786118236	0.7250091211562578	0.49663190513579614	0.54162943	0.45937756
0	0.7321966081380273	0.6137664817116806	0.5226410833640902	0.46345317	0.41531858
0	0.11006902196894454	0.3037959678190792	0.4477490557580531	0.3393423	0.6731903
0	0.8791601032249555	0.6988916307897145	0.4815209436353979	0.59219974	0.34317386
1	0.9677599523105722	0.8505158709278626	0.6334445907685029	0.74111766	0.78574735
0	0.12952242544472253	0.3542949369950653	0.5274431581812579	0.52731407	0.6241414
0	0.0070851905181442965	0.08940031209621653	0.2555518353163864	0.15208642	0.22303693
0	0.05067395036763763	0.25321674333412214	0.4263223265849627	0.31481713	0.4480417
1	0.01151608887012546	0.13478731792200777	0.30101789423643394	0.2031047	0.26379853
1	0.5730709559285172	0.5708914648681125	0.46838021430968413	0.41531998	0.4042235
0	0.0037303224084057444	0.09317240645474306	0.2588031211789549	0.16514677	0.25534818
0	0.06623803040013547	0.20032470477318237	0.2966893555253656	0.17420405	0.42703897
1	0.9536893039505745	0.7382492214333889	0.6295470557358767	0.76362014	0.56836486
1	0.5021321931996462	0.5359335975487779	0.5614177948706781	0.5839163	0.58018416
0	0.047186807461053776	0.20673484124708924	0.4445645491634268	0.42550707	0.4520941
0	0.8420968172467046	0.7503136083443661	0.5708335079845331	0.6291172	0.7303429
1	0.9024531063479668	0.7459036104319299	0.5848881314656275	0.70862156	0.7157485
0	0.9908410062145571	0.9219825264050464	0.6133076173197697	0.83500624	0.46373844
0	0.015223503798697965	0.0941564305646773	0.4507245594247925	0.3121072	0.38446537
