y_truth	lr	svm	rf	xgb	xgb_tw
0	0.007174431232878313	0.08686372533404638	0.3626485801819141	0.041376095	0.11695936
0	0.01832688165188616	0.13038687340984786	0.4058480988520984	0.21407141	0.24298263
0	0.01669574962609718	0.09202816890558536	0.36959482514545317	0.053542987	0.13265067
1	0.7248126321799827	0.7326809350793406	0.5286623676706428	0.47535023	0.9300942
1	0.9498621488275975	0.8176744824280404	0.5521455187890664	0.41758797	0.23256674
1	0.8351172423981109	0.7635592462100051	0.511629130959191	0.24114797	0.17827934
0	0.5132028489385535	0.3616925543520816	0.507902047922632	0.31549415	0.4780932
0	0.18798876880698973	0.3166045426395377	0.4717816252827993	0.87237084	0.40798804
0	0.08900447963375546	0.11242813494257288	0.4242847512397524	0.037989486	0.16046992
1	0.9712612468208999	0.9467634067675592	0.7027214605245823	0.99623543	0.8061416
1	0.994778272506211	0.9343897835508754	0.6594602722960176	0.95548666	0.39569706
1	0.9509997578632372	0.8763281308251226	0.6257953317476285	0.71999425	0.3396219
1	0.9821154204360686	0.9655050698563993	0.679370230664103	0.8013026	0.89834183
1	0.205651922998187	0.15578499209070598	0.5101029527391692	0.3262659	0.5786822
1	0.6828953777315268	0.525554102749866	0.5285421525197292	0.6009605	0.2095183
1	0.6085895884508242	0.802392180278825	0.572379294124423	0.7956718	0.7111423
1	0.5504892290155218	0.6196194091450362	0.503374973827791	0.75430304	0.765338
1	0.9706472698057689	0.9447451387719942	0.6741954449777837	0.97345734	0.82066107
1	0.9949325087923745	0.9554884414308814	0.6772558606851774	0.87154377	0.6818699
1	0.9938744157133301	0.9605831368003483	0.7155939592430165	0.94365025	0.54630286
0	0.0570922817267361	0.17935708401073008	0.31022198056837647	0.030487739	0.05242933
1	0.9560447929925988	0.8335952413492883	0.6094501117946234	0.95020014	0.9013215
1	0.988770532784857	0.9381864176603584	0.6505029627763128	0.9355475	0.68346816
0	0.07323700466625516	0.1399600406696132	0.3506071638379419	0.019989593	0.26019096
0	0.10128660326595683	0.262872795773027	0.33685735804013683	0.1634444	0.11359522
0	0.9912979305609071	0.9609187778856625	0.69907625944672	0.99498284	0.52518016
0	0.9586503401485296	0.9345224623405141	0.6564800254586484	0.96677464	0.8063671
0	0.0365534796113242	0.12687857959007107	0.4580661425777525	0.1530686	0.3790684
0	0.01873796103749062	0.06766078436025107	0.3286284441412414	0.017536351	0.18868577
1	0.5078223408468504	0.39404095654870575	0.5061029590722318	0.052218042	0.66952574
0	0.024779581772970766	0.0917517767352209	0.3943815100153131	0.04762905	0.0783849
0	0.004646518471028603	0.06571858426367204	0.41713149716273124	0.06939918	0.18785079
0	0.07523601263546649	0.23164829229481831	0.4650370344490417	0.3362008	0.089653
1	0.5541311100381936	0.48501597543870584	0.5061854486922865	0.92611796	0.5925966
1	0.9835506179923477	0.8840581998033983	0.6666036761106136	0.6693267	0.8000629
1	0.7052365142287318	0.6007622958238745	0.5449569251710709	0.31718165	0.8817185
1	0.9830843004370386	0.9115390596367681	0.6842913796134791	0.90293455	0.69353765
1	0.41728819272770673	0.472834216264621	0.4888999143552579	0.1574064	0.70748186
0	0.07541256238333982	0.15614432016491595	0.3305035314859383	0.018786412	0.4662498
0	0.05463686852209703	0.09618579991086867	0.3696200851147589	0.02676096	0.69024354
1	0.43859277816524	0.4067549212537676	0.5175776762264284	0.453684	0.5911001
1	0.9825410958313526	0.9147542497869436	0.6645160676900527	0.97751755	0.52966636
1	0.6260330054007142	0.5308452944863808	0.4714580761781578	0.44222814	0.64645225
0	0.05225430082027066	0.0903819254670448	0.3575620708843325	0.09118706	0.8517305
1	0.9938665059934522	0.9385630743639679	0.5894600870883696	0.8653697	0.28930217
1	0.7771595422681844	0.4787731275868881	0.5461839121573936	0.94537807	0.93702483
1	0.9885961327618101	0.9228302544652967	0.6561423280978915	0.9699248	0.8070573
0	0.09914887337649056	0.3303272035665423	0.46519842807350253	0.69715846	0.5282565
