ID	spreader	Tweets
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# #USER# Les contestará con una maleta de Babalos y la tita Delcy. Todo arreglado.
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Siento vergüenza viendo estas imágenes. Todo mi apoyo a los cuerpos de policía. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# Como dijo el gran #USER#; progre es a progreso, lo que cartera a carterista.
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Pacíficos manifestantes por la libertad de expresión ayer en Cataluña. 8 apellidos catalanes cada uno.
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# #USER# Hoy también puede. Ya va tarde.
7775117dbeb75838fbb7a21d5bf56eac	1	Gracias al GOBIERNO DE MIERDA. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: #USER# Y el incendio en España?. Dimite rata,y Marlaska. Vergüenza. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# Y el incendio en España?. Dimite rata,y Marlaska. Vergüenza. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: «Quien no quiere pensar es un fanático; quien no osa pensar, es un cobarde». #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# #USER# Que te pires ya. Censuradora.
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# La violencia no tiene género. Ameba. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Y esto aparcado en el garaje. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Cataluña vive en una distopía.
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: ¿Dónde están los cañones de agua para limpiar tanta porquería?
7775117dbeb75838fbb7a21d5bf56eac	1	Hdlgp ya te puedes esconder. Voy a rular tu video por Asturias. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	Cobardes y ratas. Niñatos. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Qué raro que la inversion extranjera no venga a Barcelona #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# #USER# Les pedí que lo llenasen con gas pimienta. Estarán en ello.
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Esperamos algo más de nuestro Ministro del #USER#, pero menos da una piedra. #HASHTAG# #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# Si, con el sepulturero está.
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Esto es para ponerlo en bucle. Inmenso #USER# esta mañana en el Congreso de los Diputados 👏👏👏👏👏👏👏👏👏👏👏👏
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: La izquierda gobernando, óleo sobre lienzo. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Poesía progresista acorde al discurso feminista de la izquierda española.
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# #USER# qué?. ¿Las denuncias qué?. ¿Por qué sigue abierta la cuenta de este ser?. Asco... #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# Deberíamos convocar contramanifestaciones a esta gente. Sumarnos a la policía. Estoy hasta los huevos.
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# Fijo, cual rata.
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Dos verdades incontrovertibles: ✅ Ante la barbarie, carga policial hasta el final. ✅ #HASHTAG#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Este tiene que ir detrás de Hásel.
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Echenique estaba haciendo la foto ... #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: 🤦‍♂️ madre mia cada vez que habla este hombre, aplaudo con las orejas !! #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Ahora en SOL. Madrid. Concentración en favor de Pablo Hasel #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# #USER# Muy grande #USER#. Pero llevad casco e identificación de prensa. No seas suicida. Bravo y gracias.
7775117dbeb75838fbb7a21d5bf56eac	1	Dicen <<Yo también, soy Pablo Hasel>> Pues todos para dentro hsdlgp. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# #USER# Y tanto... es patético.
7775117dbeb75838fbb7a21d5bf56eac	1	Hoy toca terrorismo callejero en Madrid. Pónganse a salvo. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# #USER# Está preciosa Catalonia. Bien sepulturero. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# La violencia NO TIENE GÉNERO. Sectario.
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: ¿Cómo es el Gatillazo de un terrorista.? Así: #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Que lo paguen todos los líderes políticos que han alentado lo de esta noche. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Es una afición, una pulsión, una querencia. Lo del gañán rapero es una excusa. Se realizan con este ritual.
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Banco Sabadell. ¿Y los Mossos? #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# Esta gentuza va a matar a alguien. O ellos o nosotros. Odio eterno.
7775117dbeb75838fbb7a21d5bf56eac	1	"Más de lo mismo. Habrá algún muerto al final. Y también lo ""justificarán"". Es un negocio. #URL#"
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Coño, el año nuevo chino. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Se sentará en el banquillo. No tengo ninguna duda. Nos encargaremos de ello.
7775117dbeb75838fbb7a21d5bf56eac	1	¡A chupar campeón! #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	Hasta la cocina. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# #USER# Que se pongan a trabajar. Que es lunes. Pedazo de vagos de mierda.
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# Ya sabes lo que toca 💪🇪🇦🤣
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# Sin duda. Pero entra Vox, no todo es malo.
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# #USER# #USER# vente a Vox. Sin complejos 💪🇪🇦
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Si los demonios se revuelven, es buena señal. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	Me ahorro escribir el tuit. 👏 #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# #USER# #USER# Enhorabuena. Contad con 2 votos más en Madrid, y en las generales. Vamos🇪🇦 O X 💪
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Fuera Arrimadas y entra Toni Cantó. Fuera Casado y entra Cayetana.
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# Se os van a acabar los chiringuitos. Nada es eterno facuo de 💩
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Escuchen a este agente. Esto es el CNP. #HASHTAG# #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Por favor, que alguien vigile a Salvador Illa que va con dos urnas escondidas en las mangas. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# #USER# Todo el que ve a este ser es basura pura. Igual que el.
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Pedro Sánchez se regala a sí mismo una foto de sí mismo por San Valentín. #HASHTAG# #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	"RT #USER#: ""Lo mejor está por venir"" Un dicho habitual de Trump👍🤠 🇺🇸2024 #URL#"
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Les deseo a los socialistas separratas....algo así pero bien. Mucha suerte españoles de bien!!! #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: ¿Recordáis la semana pasada cómo era “un bulo más de Alvise”? #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Putos gorilas. Qué vergüenza para el cuerpo...
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: #USER# Joder, #USER# nos deja sin sanidad, educación y pensiones. Ah, que no. HDLGP políticos corruptos.
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# Joder, #USER# nos deja sin sanidad, educación y pensiones. Ah, que no. HDLGP políticos corruptos.
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Gracias por la difusión. Sois lo peor que le ha pasado a este país en mucho tiempo.
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: No se puede ser más claro y más acertado. Se supera en cada intervención. Bravo #USER# #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	Un poco de música, que es viernes. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Un fascista entre gente de paz #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	Gracias Carlos Herrera. #USER# hay un mensaje para ti. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Por favor, alguien que me dé el enlace a la cita completa...😂 #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	El talante es lo que tiene. Ahora, que el felón está superando todas mis espectativas de ruina, paro y muerte. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# Me hace gracia Pablo Casado. Está acabado. Y lo sabe... #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Esta intervención de #USER# es para enmarcar. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# #USER# este lo supera. Lo siento. 🤣 #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: #HASHTAG# #USER# #HASHTAG# Los culpables tendrán que explicarlo delante de un juez.
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# como te las comes! 🤣🖕🇪🇦 #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Princesa con alma de REINA. Hoy niña a la que todos debemos cuidar. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# Los pagapensiones. Jaa!
7775117dbeb75838fbb7a21d5bf56eac	1	Me representa. Don Ignacio Gil Lázaro de #USER# #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Titular de #USER#: “Leonor se va de España, como su abuelo”. ¿Se puede ser más miserables? #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Ignacio es enorme. #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# #USER# #USER# viste a Villarejo el día 14?. No esperaba esto de ti. 🤣🇪🇦
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# Ya os adelanto la actuación del felón ⬇️ #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Son el futuro de España,en hoteles con pensión completa,piscina,...les conoceremos por PAGAPENSIONES.
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Otegi, socio del PSOE, dice que NO condena el terrorismo de ETA. ¿Has oído bien #USER# ?
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# #USER# #USER# Lo Abc. Mamporreros. 🖕🇪🇸
7775117dbeb75838fbb7a21d5bf56eac	1	"RT #USER#: Los Javis: ""Con VOX estamos en una situación de peligro. En cualquier momento se nos cae el chiringuito"""
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# #USER# Eeeeeerror. No somos reses presidenta. No siga por ahí.
7775117dbeb75838fbb7a21d5bf56eac	1	RT #USER#: Definición gráfica de la última semana de campaña para algunos... #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# #USER# A vosotros por enseñarnos lo que ocurre. En directo. La tv ya ni la vemos, hace 1 año. Fuerza 💪🇪🇸
7775117dbeb75838fbb7a21d5bf56eac	1	#USER# Don #USER# habrá que pensar en cambiar los paraguas por escudos. Fuerza Vox 💪🇪🇸 #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	Grande #USER# y todo el equipo de #USER# #URL#
7775117dbeb75838fbb7a21d5bf56eac	1	Jajajaja. Ha sido muy bueno. Os seguimos desde Madrid en #USER# VAMOS🇪🇸 O X 💪 #URL#
